No,Name,Type 1,Type 2
#0081,Magnemite,Electric,Steel
#0082,Magneton,Electric,Steel
#0083,Farfetch'd,Normal,Flying
#0084,Doduo,Normal,Flying
#0085,Dodrio,Normal,Flying
#0086,Seel,Water,None
#0087,Dewgong,Water,Ice
#0088,Grimer,Poison,None
#0089,Muk,Poison,None
#0090,Shellder,Water,None
#0091,Cloyster,Water,Ice
#0092,Gastly,Ghost,Poison
#0093,Haunter,Ghost,Poison
#0094,Gengar,Ghost,Poison
#0095,Onix,Rock,Ground
#0096,Drowzee,Psychic,None
#0097,Hypno,Psychic,None
#0098,Krabby,Water,None
#0099,Kingler,Water,None
#0100,Voltorb,Electric,None
#0101,Electrode,Electric,None
#0102,Exeggcute,Grass,Psychic
#0103,Exeggutor,Grass,Psychic
#0104,Cubone,Ground,None
#0105,Marowak,Ground,None
#0106,Hitmonlee,Fighting,None
#0107,Hitmonchan,Fighting,None
#0108,Lickitung,Normal,None
#0109,Koffing,Poison,None
#0110,Weezing,Poison,None
#0111,Rhyhorn,Ground,Rock
#0112,Rhydon,Ground,Rock
#0113,Chansey,Normal,None
#0114,Tangela,Grass,None
#0115,Kangaskhan,Normal,None
#0116,Horsea,Water,None
#0117,Seadra,Water,None
#0118,Goldeen,Water,None
#0119,Seaking,Water,None
#0120,Staryu,Water,None
#0121,Starmie,Water,Psychic
#0122,Mr. Mime,Psychic,Fairy
#0123,Scyther,Bug,Flying
#0124,Jynx,Ice,Psychic
#0125,Electabuzz,Electric,None
#0126,Magmar,Fire,None
#0127,Pinsir,Bug,None
#0128,Tauros,Normal,None
#0129,Magikarp,Water,None
#0130,Gyarados,Water,Flying
#0131,Lapras,Water,Ice
#0132,Ditto,Normal,None
#0133,Eevee,Normal,None
#0134,Vaporeon,Water,None
#0135,Jolteon,Electric,None
#0136,Flareon,Fire,None
#0137,Porygon,Normal,None
#0138,Omanyte,Rock,Water
#0139,Omastar,Rock,Water
#0140,Kabuto,Rock,Water
#0141,Kabutops,Rock,Water
#0142,Aerodactyl,Rock,Flying
#0143,Snorlax,Normal,None
#0144,Articuno,Ice,Flying
#0145,Zapdos,Electric,Flying
#0146,Moltres,Fire,Flying
#0147,Dratini,Dragon,None
#0148,Dragonair,Dragon,None
#0149,Dragonite,Dragon,Flying
#0150,Mewtwo,Psychic,None
#0151,Mew,Psychic,None
#0152,Chikorita,Grass,None
#0153,Bayleef,Grass,None
#0154,Meganium,Grass,None
#0155,Cyndaquil,Fire,None
#0156,Quilava,Fire,None
#0157,Typhlosion,Fire,None
#0158,Totodile,Water,None
#0159,Croconaw,Water,None
#0160,Feraligatr,Water,None
#0161,Sentret,Normal,None
#0162,Furret,Normal,None
#0163,Hoothoot,Normal,Flying
#0164,Noctowl,Normal,Flying
#0165,Ledyba,Bug,Flying
#0166,Ledian,Bug,Flying
#0167,Spinarak,Bug,Poison
#0168,Ariados,Bug,Poison
#0169,Crobat,Poison,Flying
#0170,Chinchou,Water,Electric
#0171,Lanturn,Water,Electric
#0172,Pichu,Electric,None
#0173,Cleffa,Fairy,None
#0174,Igglybuff,Normal,Fairy
#0175,Togepi,Fairy,None
#0176,Togetic,Fairy,Flying
#0177,Natu,Psychic,Flying
#0178,Xatu,Psychic,Flying
#0179,Mareep,Electric,None
#0180,Flaaffy,Electric,None
#0181,Ampharos,Electric,None
#0182,Bellossom,Grass,None
#0183,Marill,Water,Fairy
#0184,Azumarill,Water,Fairy
#0185,Sudowoodo,Rock,None
#0186,Politoed,Water,None
#0187,Hoppip,Grass,Flying
#0188,Skiploom,Grass,Flying
#0189,Jumpluff,Grass,Flying
#0190,Aipom,Normal,None
#0191,Sunkern,Grass,None
#0192,Sunflora,Grass,None
#0193,Yanma,Bug,Flying
#0194,Wooper,Water,Ground
#0195,Quagsire,Water,Ground
#0196,Espeon,Psychic,None
#0197,Umbreon,Dark,None
#0198,Murkrow,Dark,Flying
#0199,Slowking,Water,Psychic
#0200,Misdreavus,Ghost,None
#0201,UnownOne form,Psychic,None
#0202,Wobbuffet,Psychic,None
#0203,Girafarig,Normal,Psychic
#0204,Pineco,Bug,None
#0205,Forretress,Bug,Steel
#0206,Dunsparce,Normal,None
#0207,Gligar,Ground,Flying
#0208,Steelix,Steel,Ground
#0209,Snubbull,Fairy,None
#0210,Granbull,Fairy,None
#0211,Qwilfish,Water,Poison
#0212,Scizor,Bug,Steel
#0213,Shuckle,Bug,Rock
#0214,Heracross,Bug,Fighting
#0215,Sneasel,Dark,Ice
#0216,Teddiursa,Normal,None
#0217,Ursaring,Normal,None
#0218,Slugma,Fire,None
#0219,Magcargo,Fire,Rock
#0220,Swinub,Ice,Ground
#0221,Piloswine,Ice,Ground
#0222,Corsola,Water,Rock
#0223,Remoraid,Water,None
#0224,Octillery,Water,None
#0225,Delibird,Ice,Flying
#0226,Mantine,Water,Flying
#0227,Skarmory,Steel,Flying
#0228,Houndour,Dark,Fire
#0229,Houndoom,Dark,Fire
#0230,Kingdra,Water,Dragon
#0231,Phanpy,Ground,None
#0232,Donphan,Ground,None
#0233,Porygon2,Normal,None
#0234,Stantler,Normal,None
#0235,Smeargle,Normal,None
#0236,Tyrogue,Fighting,None
#0237,Hitmontop,Fighting,None
#0238,Smoochum,Ice,Psychic
#0239,Elekid,Electric,None
#0240,Magby,Fire,None
#0241,Miltank,Normal,None
#0242,Blissey,Normal,None
#0243,Raikou,Electric,None
#0244,Entei,Fire,None
#0245,Suicune,Water,None
#0246,Larvitar,Rock,Ground
#0247,Pupitar,Rock,Ground
#0248,Tyranitar,Rock,Dark
#0249,Lugia,Psychic,Flying
#0250,Ho-Oh,Fire,Flying
#0251,Celebi,Psychic,Grass
#0252,Treecko,Grass,None
#0253,Grovyle,Grass,None
#0254,Sceptile,Grass,None
#0255,Torchic,Fire,None
#0256,Combusken,Fire,Fighting
#0257,Blaziken,Fire,Fighting
#0258,Mudkip,Water,None
#0259,Marshtomp,Water,Ground
#0260,Swampert,Water,Ground
#0261,Poochyena,Dark,None
#0262,Mightyena,Dark,None
#0263,Zigzagoon,Normal,None
#0264,Linoone,Normal,None
#0265,Wurmple,Bug,None
#0266,Silcoon,Bug,None
#0267,Beautifly,Bug,Flying
#0268,Cascoon,Bug,None
#0269,Dustox,Bug,Poison
#0270,Lotad,Water,Grass
#0271,Lombre,Water,Grass
#0272,Ludicolo,Water,Grass
#0273,Seedot,Grass,None
#0274,Nuzleaf,Grass,Dark
#0275,Shiftry,Grass,Dark
#0276,Taillow,Normal,Flying
#0277,Swellow,Normal,Flying
#0278,Wingull,Water,Flying
#0279,Pelipper,Water,Flying
#0280,Ralts,Psychic,Fairy
#0281,Kirlia,Psychic,Fairy
#0282,Gardevoir,Psychic,Fairy
#0283,Surskit,Bug,Water
#0284,Masquerain,Bug,Flying
#0285,Shroomish,Grass,None
#0286,Breloom,Grass,Fighting
#0287,Slakoth,Normal,None
#0288,Vigoroth,Normal,None
#0289,Slaking,Normal,None
#0290,Nincada,Bug,Ground
#0291,Ninjask,Bug,Flying
#0292,Shedinja,Bug,Ghost
#0293,Whismur,Normal,None
#0294,Loudred,Normal,None
#0295,Exploud,Normal,None
#0296,Makuhita,Fighting,None
#0297,Hariyama,Fighting,None
#0298,Azurill,Normal,Fairy
#0299,Nosepass,Rock,None
#0300,Skitty,Normal,None
#0301,Delcatty,Normal,None
#0302,Sableye,Dark,Ghost
#0303,Mawile,Steel,Fairy
#0304,Aron,Steel,Rock
#0305,Lairon,Steel,Rock
#0306,Aggron,Steel,Rock
#0307,Meditite,Fighting,Psychic
#0308,Medicham,Fighting,Psychic
#0309,Electrike,Electric,None
#0310,Manectric,Electric,None
#0311,Plusle,Electric,None
#0312,Minun,Electric,None
#0313,Volbeat,Bug,None
#0314,Illumise,Bug,None
#0315,Roselia,Grass,Poison
#0316,Gulpin,Poison,None
#0317,Swalot,Poison,None
#0318,Carvanha,Water,Dark
#0319,Sharpedo,Water,Dark
#0320,Wailmer,Water,None
#0321,Wailord,Water,None
#0322,Numel,Fire,Ground
#0323,Camerupt,Fire,Ground
#0324,Torkoal,Fire,None
#0325,Spoink,Psychic,None
#0326,Grumpig,Psychic,None
#0327,Spinda,Normal,None
#0328,Trapinch,Ground,None
#0329,Vibrava,Ground,Dragon
#0330,Flygon,Ground,Dragon
#0331,Cacnea,Grass,None
#0332,Cacturne,Grass,Dark
#0333,Swablu,Normal,Flying
#0334,Altaria,Dragon,Flying
#0335,Zangoose,Normal,None
#0336,Seviper,Poison,None
#0337,Lunatone,Rock,Psychic
#0338,Solrock,Rock,Psychic
#0339,Barboach,Water,Ground
#0340,Whiscash,Water,Ground
#0341,Corphish,Water,None
#0342,Crawdaunt,Water,Dark
#0343,Baltoy,Ground,Psychic
#0344,Claydol,Ground,Psychic
#0345,Lileep,Rock,Grass
#0346,Cradily,Rock,Grass
#0347,Anorith,Rock,Bug
#0348,Armaldo,Rock,Bug
#0349,Feebas,Water,None
#0350,Milotic,Water,None
#0351,CastformNormal,Normal,None
#0352,Kecleon,Normal,None
#0353,Shuppet,Ghost,None
#0354,Banette,Ghost,None
#0355,Duskull,Ghost,None
#0356,Dusclops,Ghost,None
#0357,Tropius,Grass,Flying
#0358,Chimecho,Psychic,None
#0359,Absol,Dark,None
#0360,Wynaut,Psychic,None
#0361,Snorunt,Ice,None
#0362,Glalie,Ice,None
#0363,Spheal,Ice,Water
#0364,Sealeo,Ice,Water
#0365,Walrein,Ice,Water
#0366,Clamperl,Water,None
#0367,Huntail,Water,None
#0368,Gorebyss,Water,None
#0369,Relicanth,Water,Rock
#0370,Luvdisc,Water,None
#0371,Bagon,Dragon,None
#0372,Shelgon,Dragon,None
#0373,Salamence,Dragon,Flying
#0374,Beldum,Steel,Psychic
#0375,Metang,Steel,Psychic
#0376,Metagross,Steel,Psychic
#0377,Regirock,Rock,None
#0378,Regice,Ice,None
#0379,Registeel,Steel,None
#0380,Latias,Dragon,Psychic
#0381,Latios,Dragon,Psychic
#0382,KyogreKyogre,Water,None
#0383,GroudonGroudon,Ground,None
#0384,Rayquaza,Dragon,Flying
#0385,Jirachi,Steel,Psychic
#0386,DeoxysNormal Forme,Psychic,None
#0387,Turtwig,Grass,None
#0388,Grotle,Grass,None
#0389,Torterra,Grass,Ground
#0390,Chimchar,Fire,None
#0391,Monferno,Fire,Fighting
#0392,Infernape,Fire,Fighting
#0393,Piplup,Water,None
#0394,Prinplup,Water,None
#0395,Empoleon,Water,Steel
#0396,Starly,Normal,Flying
#0397,Staravia,Normal,Flying
#0398,Staraptor,Normal,Flying
#0399,Bidoof,Normal,None
#0400,Bibarel,Normal,Water
#0401,Kricketot,Bug,None
#0402,Kricketune,Bug,None
#0403,Shinx,Electric,None
#0404,Luxio,Electric,None
#0405,Luxray,Electric,None
#0406,Budew,Grass,Poison
#0407,Roserade,Grass,Poison
#0408,Cranidos,Rock,None
#0409,Rampardos,Rock,None
#0410,Shieldon,Rock,Steel
#0411,Bastiodon,Rock,Steel
#0412,BurmyPlant Cloak,Bug,None
#0413,WormadamPlant Cloak,Bug,Grass
#0414,Mothim,Bug,Flying
#0415,Combee,Bug,Flying
#0416,Vespiquen,Bug,Flying
#0417,Pachirisu,Electric,None
#0418,Buizel,Water,None
#0419,Floatzel,Water,None
#0420,Cherubi,Grass,None
#0421,CherrimOvercast Form,Grass,None
#0422,ShellosWest Sea,Water,None
#0423,GastrodonWest Sea,Water,Ground
#0424,Ambipom,Normal,None
#0425,Drifloon,Ghost,Flying
#0426,Drifblim,Ghost,Flying
#0427,Buneary,Normal,None
#0428,Lopunny,Normal,None
#0429,Mismagius,Ghost,None
#0430,Honchkrow,Dark,Flying
#0431,Glameow,Normal,None
#0432,Purugly,Normal,None
#0433,Chingling,Psychic,None
#0434,Stunky,Poison,Dark
#0435,Skuntank,Poison,Dark
#0436,Bronzor,Steel,Psychic
#0437,Bronzong,Steel,Psychic
#0438,Bonsly,Rock,None
#0439,Mime Jr.,Psychic,Fairy
#0440,Happiny,Normal,None
#0441,Chatot,Normal,Flying
#0442,Spiritomb,Ghost,Dark
#0443,Gible,Dragon,Ground
#0444,Gabite,Dragon,Ground
#0445,Garchomp,Dragon,Ground
#0446,Munchlax,Normal,None
#0447,Riolu,Fighting,None
#0448,Lucario,Fighting,Steel
#0449,Hippopotas,Ground,None
#0450,Hippowdon,Ground,None
#0451,Skorupi,Poison,Bug
#0452,Drapion,Poison,Dark
#0453,Croagunk,Poison,Fighting
#0454,Toxicroak,Poison,Fighting
#0455,Carnivine,Grass,None
#0456,Finneon,Water,None
#0457,Lumineon,Water,None
#0458,Mantyke,Water,Flying
#0459,Snover,Grass,Ice
#0460,Abomasnow,Grass,Ice
#0461,Weavile,Dark,Ice
#0462,Magnezone,Electric,Steel
#0463,Lickilicky,Normal,None
#0464,Rhyperior,Ground,Rock
#0465,Tangrowth,Grass,None
#0466,Electivire,Electric,None
#0467,Magmortar,Fire,None
#0468,Togekiss,Fairy,Flying
#0469,Yanmega,Bug,Flying
#0470,Leafeon,Grass,None
#0471,Glaceon,Ice,None
#0472,Gliscor,Ground,Flying
#0473,Mamoswine,Ice,Ground
#0474,Porygon-Z,Normal,None
#0475,Gallade,Psychic,Fighting
#0476,Probopass,Rock,Steel
#0477,Dusknoir,Ghost,None
#0478,Froslass,Ice,Ghost
#0479,RotomRotom,Electric,Ghost
#0480,Uxie,Psychic,None
#0481,Mesprit,Psychic,None
#0482,Azelf,Psychic,None
#0483,Dialga,Steel,Dragon
#0484,Palkia,Water,Dragon
#0485,Heatran,Fire,Steel
#0486,Regigigas,Normal,None
#0487,GiratinaAltered Forme,Ghost,Dragon
#0488,Cresselia,Psychic,None
#0489,Phione,Water,None
#0490,Manaphy,Water,None
#0491,Darkrai,Dark,None
#0492,ShayminLand Forme,Grass,None
#0493,ArceusArceus,Normal,None
#0494,Victini,Psychic,Fire
#0495,Snivy,Grass,None
#0496,Servine,Grass,None
#0497,Serperior,Grass,None
#0498,Tepig,Fire,None
#0499,Pignite,Fire,Fighting
#0500,Emboar,Fire,Fighting
#0501,Oshawott,Water,None
#0502,Dewott,Water,None
#0503,Samurott,Water,None
#0504,Patrat,Normal,None
#0505,Watchog,Normal,None
#0506,Lillipup,Normal,None
#0507,Herdier,Normal,None
#0508,Stoutland,Normal,None
#0509,Purrloin,Dark,None
#0510,Liepard,Dark,None
#0511,Pansage,Grass,None
#0512,Simisage,Grass,None
#0513,Pansear,Fire,None
#0514,Simisear,Fire,None
#0515,Panpour,Water,None
#0516,Simipour,Water,None
#0517,Munna,Psychic,None
#0518,Musharna,Psychic,None
#0519,Pidove,Normal,Flying
#0520,Tranquill,Normal,Flying
#0521,Unfezant,Normal,Flying
#0522,Blitzle,Electric,None
#0523,Zebstrika,Electric,None
#0524,Roggenrola,Rock,None
#0525,Boldore,Rock,None
#0526,Gigalith,Rock,None
#0527,Woobat,Psychic,Flying
#0528,Swoobat,Psychic,Flying
#0529,Drilbur,Ground,None
#0530,Excadrill,Ground,Steel
#0531,Audino,Normal,None
#0532,Timburr,Fighting,None
#0533,Gurdurr,Fighting,None
#0534,Conkeldurr,Fighting,None
#0535,Tympole,Water,None
#0536,Palpitoad,Water,Ground
#0537,Seismitoad,Water,Ground
#0538,Throh,Fighting,None
#0539,Sawk,Fighting,None
#0540,Sewaddle,Bug,Grass
#0541,Swadloon,Bug,Grass
#0542,Leavanny,Bug,Grass
#0543,Venipede,Bug,Poison
#0544,Whirlipede,Bug,Poison
#0545,Scolipede,Bug,Poison
#0546,Cottonee,Grass,Fairy
#0547,Whimsicott,Grass,Fairy
#0548,Petilil,Grass,None
#0549,Lilligant,Grass,None
#0550,BasculinRed-Striped Form,Water,None
#0551,Sandile,Ground,Dark
#0552,Krokorok,Ground,Dark
#0553,Krookodile,Ground,Dark
#0554,Darumaka,Fire,None
#0555,DarmanitanStandard Mode,Fire,None
#0556,Maractus,Grass,None
#0557,Dwebble,Bug,Rock
#0558,Crustle,Bug,Rock
#0559,Scraggy,Dark,Fighting
#0560,Scrafty,Dark,Fighting
#0561,Sigilyph,Psychic,Flying
#0562,Yamask,Ghost,None
#0563,Cofagrigus,Ghost,None
#0564,Tirtouga,Water,Rock
#0565,Carracosta,Water,Rock
#0566,Archen,Rock,Flying
#0567,Archeops,Rock,Flying
#0568,Trubbish,Poison,None
#0569,Garbodor,Poison,None
#0570,Zorua,Dark,None
#0571,Zoroark,Dark,None
#0572,Minccino,Normal,None
#0573,Cinccino,Normal,None
#0574,Gothita,Psychic,None
#0575,Gothorita,Psychic,None
#0576,Gothitelle,Psychic,None
#0577,Solosis,Psychic,None
#0578,Duosion,Psychic,None
#0579,Reuniclus,Psychic,None
#0580,Ducklett,Water,Flying
#0581,Swanna,Water,Flying
#0582,Vanillite,Ice,None
#0583,Vanillish,Ice,None
#0584,Vanilluxe,Ice,None
#0585,DeerlingSpring Form,Normal,Grass
#0586,SawsbuckSpring Form,Normal,Grass
#0587,Emolga,Electric,Flying
#0588,Karrablast,Bug,None
#0589,Escavalier,Bug,Steel
#0590,Foongus,Grass,Poison
#0591,Amoonguss,Grass,Poison
#0592,Frillish,Water,Ghost
#0593,Jellicent,Water,Ghost
#0594,Alomomola,Water,None
#0595,Joltik,Bug,Electric
#0596,Galvantula,Bug,Electric
#0597,Ferroseed,Grass,Steel
#0598,Ferrothorn,Grass,Steel
#0599,Klink,Steel,None
#0600,Klang,Steel,None
#0601,Klinklang,Steel,None
#0602,Tynamo,Electric,None
#0603,Eelektrik,Electric,None
#0604,Eelektross,Electric,None
#0605,Elgyem,Psychic,None
#0606,Beheeyem,Psychic,None
#0607,Litwick,Ghost,Fire
#0608,Lampent,Ghost,Fire
#0609,Chandelure,Ghost,Fire
#0610,Axew,Dragon,None
#0611,Fraxure,Dragon,None
#0612,Haxorus,Dragon,None
#0613,Cubchoo,Ice,None
#0614,Beartic,Ice,None
#0615,Cryogonal,Ice,None
#0616,Shelmet,Bug,None
#0617,Accelgor,Bug,None
#0618,Stunfisk,Ground,Electric
#0619,Mienfoo,Fighting,None
#0620,Mienshao,Fighting,None
#0621,Druddigon,Dragon,None
#0622,Golett,Ground,Ghost
#0623,Golurk,Ground,Ghost
#0624,Pawniard,Dark,Steel
#0625,Bisharp,Dark,Steel
#0626,Bouffalant,Normal,None
#0627,Rufflet,Normal,Flying
#0628,Braviary,Normal,Flying
#0629,Vullaby,Dark,Flying
#0630,Mandibuzz,Dark,Flying
#0631,Heatmor,Fire,None
#0632,Durant,Bug,Steel
#0633,Deino,Dark,Dragon
#0634,Zweilous,Dark,Dragon
#0635,Hydreigon,Dark,Dragon
#0636,Larvesta,Bug,Fire
#0637,Volcarona,Bug,Fire
#0638,Cobalion,Steel,Fighting
#0639,Terrakion,Rock,Fighting
#0640,Virizion,Grass,Fighting
#0641,TornadusIncarnate Forme,Flying,None
#0642,ThundurusIncarnate Forme,Electric,Flying
#0643,Reshiram,Dragon,Fire
#0644,Zekrom,Dragon,Electric
#0645,LandorusIncarnate Forme,Ground,Flying
#0646,KyuremKyurem,Dragon,Ice
#0647,KeldeoOrdinary Form,Water,Fighting
#0648,MeloettaAria Forme,Normal,Psychic
#0649,GenesectGenesect(no drive),Bug,Steel
#0650,Chespin,Grass,None
#0651,Quilladin,Grass,None
#0652,Chesnaught,Grass,Fighting
#0653,Fennekin,Fire,None
#0654,Braixen,Fire,None
#0655,Delphox,Fire,Psychic
#0656,Froakie,Water,None
#0657,Frogadier,Water,None
#0658,Greninja,Water,Dark
#0659,Bunnelby,Normal,None
#0660,Diggersby,Normal,Ground
#0661,Fletchling,Normal,Flying
#0662,Fletchinder,Fire,Flying
#0663,Talonflame,Fire,Flying
#0664,Scatterbug,Bug,None
#0665,Spewpa,Bug,None
#0666,VivillonMeadow Pattern,Bug,Flying
#0667,Litleo,Fire,Normal
#0668,Pyroar,Fire,Normal
#0669,FlabébéRed Flower,Fairy,None
#0670,FloetteRed Flower,Fairy,None
#0671,FlorgesRed Flower,Fairy,None
#0672,Skiddo,Grass,None
#0673,Gogoat,Grass,None
#0674,Pancham,Fighting,None
#0675,Pangoro,Fighting,Dark
#0676,FurfrouNatural Form,Normal,None
#0677,Espurr,Psychic,None
#0678,MeowsticMale,Psychic,None
#0679,Honedge,Steel,Ghost
#0680,Doublade,Steel,Ghost
#0681,AegislashShield Forme,Steel,Ghost
#0682,Spritzee,Fairy,None
#0683,Aromatisse,Fairy,None
#0684,Swirlix,Fairy,None
#0685,Slurpuff,Fairy,None
#0686,Inkay,Dark,Psychic
#0687,Malamar,Dark,Psychic
#0688,Binacle,Rock,Water
#0689,Barbaracle,Rock,Water
#0690,Skrelp,Poison,Water
#0691,Dragalge,Poison,Dragon
#0692,Clauncher,Water,None
#0693,Clawitzer,Water,None
#0694,Helioptile,Electric,Normal
#0695,Heliolisk,Electric,Normal
#0696,Tyrunt,Rock,Dragon
#0697,Tyrantrum,Rock,Dragon
#0698,Amaura,Rock,Ice
#0699,Aurorus,Rock,Ice
#0700,Sylveon,Fairy,None
#0701,Hawlucha,Fighting,Flying
#0702,Dedenne,Electric,Fairy
#0703,Carbink,Rock,Fairy
#0704,Goomy,Dragon,None
#0705,Sliggoo,Dragon,None
#0706,Goodra,Dragon,None
#0707,Klefki,Steel,Fairy
#0708,Phantump,Ghost,Grass
#0709,Trevenant,Ghost,Grass
#0710,Pumpkaboo,Ghost,Grass
#0711,Gourgeist,Ghost,Grass
#0712,Bergmite,Ice,None
#0713,Avalugg,Ice,None
#0714,Noibat,Flying,Dragon
#0715,Noivern,Flying,Dragon
#0716,XerneasNeutral Mode,Fairy,None
#0717,Yveltal,Dark,Flying
#0718,Zygarde50% Forme,Dragon,Ground
#0719,Diancie,Rock,Fairy
#0720,HoopaHoopa Confined,Psychic,Ghost
#0721,Volcanion,Fire,Water
#0722,Rowlet,Grass,Flying
#0723,Dartrix,Grass,Flying
#0724,Decidueye,Grass,Ghost
#0725,Litten,Fire,None
#0726,Torracat,Fire,None
#0727,Incineroar,Fire,Dark
#0728,Popplio,Water,None
#0729,Brionne,Water,None
#0730,Primarina,Water,Fairy
#0731,Pikipek,Normal,Flying
#0732,Trumbeak,Normal,Flying
#0733,Toucannon,Normal,Flying
#0734,Yungoos,Normal,None
#0735,Gumshoos,Normal,None
#0736,Grubbin,Bug,None
#0737,Charjabug,Bug,Electric
#0738,Vikavolt,Bug,Electric
#0739,Crabrawler,Fighting,None
#0740,Crabominable,Fighting,Ice
#0741,OricorioBaile Style,Fire,Flying
#0742,Cutiefly,Bug,Fairy
#0743,Ribombee,Bug,Fairy
#0744,Rockruff,Rock,None
#0745,LycanrocMidday Form,Rock,None
#0746,WishiwashiSolo Form,Water,None
#0747,Mareanie,Poison,Water
#0748,Toxapex,Poison,Water
#0749,Mudbray,Ground,None
#0750,Mudsdale,Ground,None
#0751,Dewpider,Water,Bug
#0752,Araquanid,Water,Bug
#0753,Fomantis,Grass,None
#0754,Lurantis,Grass,None
#0755,Morelull,Grass,Fairy
#0756,Shiinotic,Grass,Fairy
#0757,Salandit,Poison,Fire
#0758,Salazzle,Poison,Fire
#0759,Stufful,Normal,Fighting
#0760,Bewear,Normal,Fighting
#0761,Bounsweet,Grass,None
#0762,Steenee,Grass,None
#0763,Tsareena,Grass,None
#0764,Comfey,Fairy,None
#0765,Oranguru,Normal,Psychic
#0766,Passimian,Fighting,None
#0767,Wimpod,Bug,Water
#0768,Golisopod,Bug,Water
#0769,Sandygast,Ghost,Ground
#0770,Palossand,Ghost,Ground
#0771,Pyukumuku,Water,None
#0772,Type: Null,Normal,None
#0773,SilvallyType: Normal,Normal,None
#0774,MiniorMeteor Form,Rock,Flying
#0775,Komala,Normal,None
#0776,Turtonator,Fire,Dragon
#0777,Togedemaru,Electric,Steel
#0778,MimikyuDisguised Form,Ghost,Fairy
#0779,Bruxish,Water,Psychic
#0780,Drampa,Normal,Dragon
#0781,Dhelmise,Ghost,Grass
#0782,Jangmo-o,Dragon,None
#0783,Hakamo-o,Dragon,Fighting
#0784,Kommo-o,Dragon,Fighting
#0785,Tapu Koko,Electric,Fairy
#0786,Tapu Lele,Psychic,Fairy
#0787,Tapu Bulu,Grass,Fairy
#0788,Tapu Fini,Water,Fairy
#0789,Cosmog,Psychic,None
#0790,Cosmoem,Psychic,None
#0791,Solgaleo,Psychic,Steel
#0792,Lunala,Psychic,Ghost
#0793,Nihilego,Rock,Poison
#0794,Buzzwole,Bug,Fighting
#0795,Pheromosa,Bug,Fighting
#0796,Xurkitree,Electric,None
#0797,Celesteela,Steel,Flying
#0798,Kartana,Grass,Steel
#0799,Guzzlord,Dark,Dragon
#0800,Necrozma,Psychic,None
#0801,Magearna,Steel,Fairy
#0802,Marshadow,Fighting,Ghost
#0803,Poipole,Poison,None
#0804,Naganadel,Poison,Dragon
#0805,Stakataka,Rock,Steel
#0806,Blacephalon,Fire,Ghost
#0807,Zeraora,Electric,None
#0808,Meltan,Steel,None
#0809,Melmetal,Steel,None
#0810,Grookey,Grass,None
#0811,Thwackey,Grass,None
#0812,Rillaboom,Grass,None
#0813,Scorbunny,Fire,None
